,word,total_times,proportion,aver_ret
404,kinsal,9,0.4444444444444444,0.0080696094762764
405,ghaith,12,0.75,0.0036434654880784932
406,multiprotocol,1,1.0,0.01850512430501941
407,tremor,39,0.5128205128205128,0.010459287768570195
408,utilti,1,0.0,-0.02668319711368097
409,andorra,3,0.3333333333333333,-1.8184604193153778e-06
410,namba,4,0.0,-0.021824359176177408
411,fabiana,8,0.25,-0.0035311122829087115
412,howarth,2,0.5,0.006518320056113087
413,empathi,4,0.25,-0.0112730854338802
414,ryska,1,0.0,-0.010339327917640936
415,date,4768,0.4951761744966443,0.0009906627790276419
416,determinado,1,0.0,-0.001834119654693063
417,lexinfintech,5,0.4,0.12749947292816852
418,zebulon,1,1.0,0.0004383053387250371
419,ajh,1,1.0,0.04365610485322712
420,natrell,3,0.0,-0.02468368687615176
421,tackl,461,0.46203904555314534,-0.002645934853591545
422,opc,7,0.5714285714285714,0.009346098082262225
423,mbo,18,0.6111111111111112,0.0003159253826832854
424,udr,16,0.3125,0.0010090429125156316
425,granadero,2,0.5,-0.004857090882980107
426,brendler,2,0.0,-0.015326187299813904
427,kirazli,1,0.0,-0.060124304550087965
428,unwind,136,0.5,-0.0018458395807020697
429,moffettnathanson,79,0.45569620253164556,-0.001338441147540063
430,viseo,1,1.0,0.005093132347826134
431,buckey,13,0.5384615384615384,0.0044240927185298035
432,conditt,2,0.0,-0.026037817770540518
433,dodgi,9,0.5555555555555556,0.0060832176313251754
434,greatwal,2,0.0,-0.014778300363026697
435,smithsonian,7,0.2857142857142857,-0.005560717044416291
436,garrick,5,0.8,0.005037980537313818
437,terramar,2,0.0,-0.014151767761102847
438,fivepoint,1,0.0,-0.012812452803198796
439,npo,1,0.0,-9.948288150484407e-05
440,pieter,8,0.375,0.021493879595470194
441,aristada,2,1.0,0.06284851136799698
442,steri,10,0.6,0.004626349860597649
443,traveloc,4,0.75,0.0018377501763975766
444,seas,3,0.0,-0.02271292780906504
445,trendsett,4,0.25,-0.02960935052992473
446,somporn,1,1.0,0.001937160283288165
447,amodei,1,1.0,0.00901590454039496
448,terragraph,1,1.0,0.0025212829097876212
449,motlhamm,1,1.0,0.04288315483582099
450,ftztjf,1,1.0,0.015083348422027625
451,cxw,1,0.0,-0.0006474376358381066
452,przemek,1,1.0,0.020429631833552942
453,philipsburg,1,0.0,-0.004487276797385658
454,resourc,3731,0.47708389171803806,-0.001219664178815095
455,electrica,10,0.6,-0.008415802114785173
456,bahadour,1,1.0,0.0224401174578394
457,jpf,1,1.0,0.005345076208871226
458,swft,1,0.0,-0.03453734402158273
459,guernigou,2,0.5,0.0018243512356511658
460,crackl,1,0.0,-0.006098392440414456
461,fallback,17,0.5882352941176471,0.0022680644680923437
462,bushehri,1,0.0,-0.02392103826585506
463,intellisit,1,1.0,0.0008058388450347487
464,classen,1,0.0,-0.005420720814070298
465,edlc,1,0.0,-0.007718636109489142
466,sedat,6,0.5,0.01095499593956934
467,ellertson,1,1.0,0.04187976458133666
468,clinipam,1,0.0,-0.03195754806341075
469,giver,3,0.3333333333333333,0.0033939468797859595
470,hyzak,1,0.0,-0.010798946932798472
471,globals,1,1.0,0.0010834593686637089
472,outliv,6,0.6666666666666666,0.006261470342044044
473,licharz,1,0.0,-0.0018179552187578246
474,markowski,1,0.0,-0.021118860873015885
475,chinanet,10,0.6,0.7159470392810336
476,lukashenko,2,0.5,-0.004255642342649534
477,exc,8,0.25,-0.010913458808566132
478,kaehler,2,0.5,-0.004164366723232128
479,payslip,1,1.0,0.00019904986927006391
480,shamu,2,0.0,-0.007663365423384988
481,bonar,6,0.3333333333333333,-0.007392910905493234
482,mirasari,1,0.0,-0.008214159904191628
483,payfon,1,0.0,-0.008959508366446026
484,helli,4,0.5,-0.01347261820769036
485,cirara,1,1.0,0.002161832229410356
486,tfg,1,1.0,0.0012555746172841185
487,ib,19,0.7368421052631579,0.07844863041738788
488,stfc,1,0.0,-0.037964223594113534
489,hebert,2,1.0,0.012131596159784456
490,gabelman,1,1.0,0.0027113866166709705
491,champ,7,0.42857142857142855,-0.010364966087613845
492,crayhil,1,0.0,-0.0029873938148149712
493,larger,1966,0.4745676500508647,-0.0020631373063436315
494,stedin,1,1.0,0.018528308111675124
495,iller,1,0.0,-0.008478552040498567
496,ehrenberg,1,0.0,-0.10630244828142596
497,southwel,1,1.0,0.0004578617441859845
498,wriedt,1,0.0,-0.0007284863241032737
499,mitzi,1,0.0,-0.0073247170325511785
500,chambroad,2,0.5,0.0023989289937906303
501,eyecatch,1,1.0,0.0008006412738589166
502,zastava,1,1.0,3.853191690454021e-05
503,stupid,43,0.6046511627906976,0.004772404219599046
504,grow,8477,0.5005308481774212,0.0009100894933087158
505,sensibl,72,0.6805555555555556,0.009602694392678647
506,creandum,1,0.0,-0.02356456728248775
507,seiz,290,0.45517241379310347,-0.0017474488310288217
508,aeromobil,2,0.0,-0.002323831183904609
509,farther,14,0.6428571428571429,0.0019782169481682805
510,davaasharav,1,0.0,-0.02457707785808572
511,carbo,2,0.5,0.004909738199460894
512,hypoglycemia,12,0.6666666666666666,0.006932878589598586
513,metcalf,5,0.6,-0.0016936998030747442
514,unverifi,7,0.7142857142857143,0.005609209218402982
515,snare,12,0.3333333333333333,-0.002641952220962007
516,sne,4,0.25,-0.0005907351714766508
517,yoplait,11,0.45454545454545453,-0.014085369581973529
518,svendgaard,1,0.0,-0.00034582390859859424
519,oval,24,0.5416666666666666,-0.002506534250785818
520,hadera,1,1.0,0.017308013937639213
521,aspi,1,0.0,-0.008307199069651761
522,ravi,36,0.5833333333333334,-0.003799959262918139
523,attijariwafa,1,1.0,0.007751230333333321
524,statutori,133,0.5112781954887218,0.0023820298506872107
525,jounc,10,0.4,-0.012352595249074094
526,upweight,1,0.0,-0.0030519108320941424
527,insult,40,0.425,0.003351893739553664
528,talkwalk,1,1.0,0.006823227502512656
529,ncab,1,0.0,-0.0024891270000000003
530,jtwhatsapp,1,1.0,0.0005995827630611008
531,ponvert,1,0.0,-0.08339891136661053
532,macrophag,3,0.3333333333333333,-0.011056205797586822
533,stay,1515,0.4765676567656766,-0.0018056548609242681
534,guaynabo,5,0.6,0.007085856781075818
535,deciph,6,0.6666666666666666,0.01763404001276096
536,forgeri,4,0.0,-0.007114638732134729
537,seattl,828,0.4891304347826087,0.0012492512076247551
538,rutt,37,0.40540540540540543,-0.005881023536739505
539,klassen,2,0.5,0.1884997605398346
540,andar,2,0.5,-0.004099934520785377
541,gcp,24,0.4166666666666667,-0.00221534703083297
542,juliett,4,0.25,-0.003709998984534042
543,sard,7,0.5714285714285714,-0.00016910600358440334
544,geoamey,1,0.0,-0.011321139176297887
545,prenat,21,0.5714285714285714,0.0017011663999149701
546,total,14355,0.5046325322187392,0.0003432218509466368
547,anvisa,6,0.5,0.008468742986232368
548,gulshan,1,1.0,0.004891063517593984
549,renan,2,0.5,0.004403835176573953
550,digistat,2,0.5,-0.00861862124927337
551,vassili,2,0.0,-0.0022184958970075195
552,uberoo,2,0.5,0.021202532296613442
553,lorberbaum,1,1.0,0.007640499521920719
554,veroniqu,2,0.5,-0.004949736254308545
555,atv,8,0.25,-0.0010337165482568757
556,edgardo,17,0.4117647058823529,-0.0016719761067882368
557,hkmap,4,0.75,0.00552069974794634
558,petersen,9,0.3333333333333333,-0.004774692808575512
559,tafler,1,0.0,-0.01770142795121947
560,batjer,2,0.5,0.15988803119275377
561,mtf,4,0.75,0.004379351179060652
562,xtep,1,0.0,-0.007094300650879572
563,romeu,4,0.0,-0.07291176340089923
564,degener,45,0.5333333333333333,-0.00023732359024478098
565,lwarcel,1,0.0,-0.005818694151819325
566,sleipner,1,0.0,-0.010052914012227965
567,transfat,3,0.3333333333333333,-0.007332512590790756
568,refidomsa,1,0.0,-0.005360464068493161
569,renesola,22,0.5,0.007672834277491225
570,banerje,315,0.4857142857142857,-0.0006068192644059502
571,ducau,2,0.5,0.014369771852941181
572,staffer,73,0.6027397260273972,0.024723401938251573
573,solarisuno,1,0.0,-0.04205919759434277
574,bonnet,5,0.6,0.007758306773635341
575,transaact,1,0.0,-0.00022968829753382744
576,userra,4,0.25,0.0038149812981433185
577,lifang,1,1.0,0.008353645307968166
578,obj,1,0.0,-0.003395285189873396
579,cryan,172,0.47093023255813954,-0.0044857985983624725
580,exert,77,0.45454545454545453,0.001489019511716004
581,chromosom,2,0.0,-0.00324740690949997
582,jeter,2,1.0,0.004506792746990457
583,morselli,2,0.5,-0.0015880708283790637
584,cityvill,1,0.0,-0.005063338505494499
585,heureux,2,0.0,-0.0005308005968991914
586,vancouv,222,0.4864864864864865,0.0036452176936131223
587,lichten,1,1.0,0.013205409243697444
588,araneo,1,0.0,-0.002208363708851903
589,pebbl,14,0.35714285714285715,-0.03491618963986034
590,paracambi,1,1.0,0.0183187007180616
591,chenkin,1,0.0,-0.000670021077507064
592,macra,5,1.0,0.019564900529211428
